path, resolution
pdb/helicase-nsp7-nsp8-rna_polymerase/SARS-CoV-2/7rdx 3.1
pdb/helicase-nsp7-nsp8-rna_polymerase/SARS-CoV-2/7re2 3.17
pdb/helicase-nsp7-nsp8-rna_polymerase/SARS-CoV-2/7krp 3.2
pdb/helicase-nsp7-nsp8-rna_polymerase/SARS-CoV-2/7re3 3.33
pdb/helicase-nsp7-nsp8-rna_polymerase/SARS-CoV-2/7krn 3.4
pdb/helicase-nsp7-nsp8-rna_polymerase/SARS-CoV-2/6xez 3.5
pdb/helicase-nsp7-nsp8-rna_polymerase/SARS-CoV-2/7re0 3.5
pdb/helicase-nsp7-nsp8-rna_polymerase/SARS-CoV-2/7rdz 3.6
pdb/helicase-nsp7-nsp8-rna_polymerase/SARS-CoV-2/7kro 3.6
pdb/helicase-nsp7-nsp8-nsp9-rna_polymerase/SARS-CoV-2/8gwo 3.8
pdb/exonuclease-nsp10/SARS-CoV-2/7n0d 2.5
pdb/exonuclease-nsp10/SARS-CoV-2/7n0c 3.4
pdb/exonuclease-nsp10/SARS-CoV-2/7n0b 3.9
pdb/exonuclease-helicase-nsp10-nsp7-nsp8-nsp9-rna_polymerase/SARS-CoV-2/7egq 3.35
pdb/exonuclease-helicase-nsp10-nsp7-nsp8-nsp9-rna_polymerase/SARS-CoV-2/7eiz ?
pdb/endornase/SARS-CoV-2/7n06 2.2
pdb/endornase/SARS-CoV-2/7me0 2.48
pdb/endornase/SARS-CoV-2/7n33 2.5
pdb/endornase/SARS-CoV-2/7rb0 2.98
pdb/endornase/SARS-CoV-2/7tj2 3.2
pdb/endornase/SARS-CoV-2/7rb2 3.27
pdb/endornase/SARS-CoV-2/7k0r 3.3
pdb/endornase/SARS-CoV-2/7tqv 3.43
pdb/nsp2/SARS-CoV-2/7msx 3.15
pdb/nsp2/SARS-CoV-2/7msw 3.76
pdb/3c_like_proteinase/SARS-CoV-2/7s82 3.5
pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/7doi 2.6
pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/7uoe 2.67
pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/7uob 2.68
pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/7dfg 2.7
pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/7dok 2.73
pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/6yyt 2.9
pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/7dfh 2.97
pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/7ed5 2.98
pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/7dte 3.0
pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/7uo7 3.09
pdb/nsp7-nsp8-rna_polymerase/SARS-CoV/6nur 3.1
pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/7uo9 3.13
pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/7ozv 3.2
pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/7ozu 3.3
pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/7uo4 3.38
pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/6xqb 3.4
pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/6x2g 3.53
pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/7l1f 3.89
pdb/nsp7-nsp8-rna_polymerase/SARS-CoV-2/7oyg 5.5
pdb/nsp7-nsp8-nsp9-rna_polymerase/SARS-CoV-2/7thm 3.18
pdb/nsp8/SARS-CoV-2/7aap 2.5
pdb/nsp8/SARS-CoV-2/7bv2 2.5
pdb/nsp8/SARS-CoV-2/7d4f 2.57
pdb/nsp8/SARS-CoV-2/7bv1 2.8
pdb/nsp8/SARS-CoV-2/7b3d 2.8
pdb/nsp8/SARS-CoV-2/7cyq 2.83
pdb/nsp8/SARS-CoV-2/6m71 2.9
pdb/nsp8/SARS-CoV-2/7cxm 2.9
pdb/nsp8/SARS-CoV-2/7c2k 2.93
pdb/nsp8/SARS-CoV-2/7btf 2.95
pdb/nsp8/SARS-CoV-2/7b3b 3.1
pdb/nsp8/SARS-CoV-2/7ctt 3.2
pdb/nsp8/SARS-CoV-2/7bzf 3.26
pdb/nsp8/SARS-CoV-2/7b3c 3.4
pdb/nsp8/SARS-CoV-2/7bw4 3.7
pdb/nsp8/SARS-CoV-2/7cxn 3.84
pdb/nsp8-rna_polymerase/SARS-CoV-2/6nus 3.5
pdb/orf3a_protein/SARS-CoV-2/7kjr 2.08
pdb/orf3a_protein/SARS-CoV-2/6xdc 2.9
pdb/orf9b/SARS-CoV-2/7kdt 3.05
pdb/protein_e/SARS-CoV-2/7m4r 3.65
pdb/rna/SARS-CoV-2/7o7y 2.2
pdb/rna/SARS-CoV-2/7o7z 2.4
pdb/rna/SARS-CoV-2/7o80 2.9
pdb/rna/SARS-CoV-2/7o81 3.1
pdb/rna/SARS-CoV-2/6xrz 6.9
pdb/surface_glycoprotein/SARS-CoV-2/6yor None
pdb/surface_glycoprotein/SARS-CoV-2/7jwb None
pdb/surface_glycoprotein/SARS-CoV-2/7wev None
pdb/surface_glycoprotein/SARS-CoV-2/7rzq 2.09
pdb/surface_glycoprotein/SARS-CoV-2/7rzv 2.11
pdb/surface_glycoprotein/SARS-CoV-2/8dlw 2.16
pdb/surface_glycoprotein/SARS-CoV-2/7lxy 2.2
pdb/surface_glycoprotein/SARS-CoV-2/8czi 2.22
pdb/surface_glycoprotein/SARS-CoV-2/7tey 2.25
pdb/surface_glycoprotein/SARS-CoV-2/7tf3 2.25
pdb/surface_glycoprotein/SARS-CoV-2/8dlo 2.25
pdb/surface_glycoprotein/SARS-CoV-2/7rzr 2.27
pdb/surface_glycoprotein/SARS-CoV-2/7qur 2.27
pdb/surface_glycoprotein/SARS-CoV-2/7n8h 2.3
pdb/surface_glycoprotein/SARS-CoV-2/7rzu 2.3
pdb/surface_glycoprotein/SARS-CoV-2/8cxq 2.3
pdb/surface_glycoprotein/SARS-CoV-2/7sxt 2.31
pdb/surface_glycoprotein/SARS-CoV-2/7rzt 2.35
pdb/surface_glycoprotein/SARS-CoV-2/7tpr 2.39
pdb/surface_glycoprotein/SARS-CoV-2/7qus 2.39
pdb/surface_glycoprotein/SARS-CoV-2/6xlu 2.4
pdb/surface_glycoprotein/SARS-CoV-2/7sob 2.4
pdb/surface_glycoprotein/SARS-CoV-2/7so9 2.4
pdb/surface_glycoprotein/SARS-CoV-2/7tik 2.4
pdb/surface_glycoprotein/SARS-CoV-2/8dlt 2.4
pdb/surface_glycoprotein/SARS-CoV-2/7kqb 2.42
pdb/surface_glycoprotein/SARS-CoV-2/7t9k 2.45
pdb/surface_glycoprotein/SARS-CoV-2/8dlx 2.45
pdb/surface_glycoprotein/SARS-CoV-2/7wrv 2.47
pdb/surface_glycoprotein/SARS-CoV-2/7jwy 2.5
pdb/surface_glycoprotein/SARS-CoV-2/7ly2 2.5
pdb/surface_glycoprotein/SARS-CoV-2/7xck 2.5
pdb/surface_glycoprotein/SARS-CoV-2/7xco 2.5
pdb/surface_glycoprotein/SARS-CoV-2/8dlr 2.51
pdb/surface_glycoprotein/SARS-CoV-2/7rzs 2.52
pdb/surface_glycoprotein/SARS-CoV-2/7wp9 2.56
pdb/surface_glycoprotein/SARS-CoV-2/8dli 2.56
pdb/surface_glycoprotein/SARS-CoV-2/8dll 2.56
pdb/surface_glycoprotein/SARS-CoV-2/7wpc 2.57
pdb/surface_glycoprotein/SARS-CoV-2/8dlz 2.57
pdb/surface_glycoprotein/SARS-CoV/8h0x 2.57
pdb/surface_glycoprotein/SARS-CoV-2/7sy5 2.59
pdb/surface_glycoprotein/SARS-CoV-2/6zge 2.6
pdb/surface_glycoprotein/SARS-CoV-2/7k43 2.6
pdb/surface_glycoprotein/SARS-CoV-2/7e7b 2.6
pdb/surface_glycoprotein/SARS-CoV-2/7ly0 2.6
pdb/surface_glycoprotein/SARS-CoV-2/7mtc 2.6
pdb/surface_glycoprotein/SARS-CoV-2/7lxz 2.6
pdb/surface_glycoprotein/SARS-CoV-2/8cyd 2.6
pdb/surface_glycoprotein/SARS-CoV-2/7xo6 2.6
pdb/surface_glycoprotein/SARS-CoV-2/7sxz 2.61
pdb/surface_glycoprotein/SARS-CoV-2/7b18 2.62
pdb/surface_glycoprotein/SARS-CoV-2/7sxs 2.64
pdb/surface_glycoprotein/SARS-CoV-2/8dlp 2.64
pdb/surface_glycoprotein/SARS-CoV-2/7my2 2.65
pdb/surface_glycoprotein/SARS-CoV-2/7mjh 2.66
pdb/surface_glycoprotein/SARS-CoV-2/7m71 2.66
pdb/surface_glycoprotein/SARS-CoV-2/7sxx 2.66
pdb/surface_glycoprotein/SARS-CoV-2/7t9l 2.66
pdb/surface_glycoprotein/SARS-CoV-2/8dls 2.66
pdb/surface_glycoprotein/SARS-CoV-2/7yad 2.66
pdb/surface_glycoprotein/SARS-CoV-2/7wpe 2.69
pdb/surface_glycoprotein/SARS-CoV-2/7t01 2.69
pdb/surface_glycoprotein/SARS-CoV-2/6x29 2.7
pdb/surface_glycoprotein/SARS-CoV-2/6xm0 2.7
pdb/surface_glycoprotein/SARS-CoV-2/7jzl 2.7
pdb/surface_glycoprotein/SARS-CoV-2/7czt 2.7
pdb/surface_glycoprotein/SARS-CoV-2/7df3 2.7
pdb/surface_glycoprotein/SARS-CoV-2/7dwy 2.7
pdb/surface_glycoprotein/SARS-CoV-2/7v8a 2.7
pdb/surface_glycoprotein/SARS-CoV-2/7q6e 2.7
pdb/surface_glycoprotein/SARS-CoV-2/7x08 2.7
pdb/surface_glycoprotein/SARS-CoV-2/8cya 2.7
pdb/surface_glycoprotein/SARS-CoV-2/8cyb 2.7
pdb/surface_glycoprotein/SARS-CoV-2/7wz2 2.7
pdb/surface_glycoprotein/SARS-CoV/7upw 2.7
pdb/surface_glycoprotein/SARS-CoV/8h11 2.72
pdb/surface_glycoprotein/SARS-CoV-2/7mjk 2.73
pdb/surface_glycoprotein/SARS-CoV-2/7x1m 2.74
pdb/surface_glycoprotein/SARS-CoV-2/7a4n 2.75
pdb/surface_glycoprotein/SARS-CoV-2/7enf 2.76
pdb/surface_glycoprotein/SARS-CoV-2/7wpa 2.77
pdb/surface_glycoprotein/SARS-CoV-2/8dlq 2.77
pdb/surface_glycoprotein/SARS-CoV-2/7sxv 2.79
pdb/surface_glycoprotein/SARS-CoV-2/7t9j 2.79
pdb/surface_glycoprotein/SARS-CoV-2/7sxy 2.79
pdb/surface_glycoprotein/SARS-CoV-2/7wpb 2.79
pdb/surface_glycoprotein/SARS-CoV-2/6vxx 2.8
pdb/surface_glycoprotein/SARS-CoV-2/7kdk 2.8
pdb/surface_glycoprotein/SARS-CoV-2/7czq 2.8
pdb/surface_glycoprotein/SARS-CoV-2/7czw 2.8
pdb/surface_glycoprotein/SARS-CoV-2/7czx 2.8
pdb/surface_glycoprotein/SARS-CoV-2/7nd9 2.8
pdb/surface_glycoprotein/SARS-CoV-2/7v89 2.8
pdb/surface_glycoprotein/SARS-CoV-2/7soe 2.8
pdb/surface_glycoprotein/SARS-CoV-2/7v7q 2.8
pdb/surface_glycoprotein/SARS-CoV-2/7lxw 2.8
pdb/surface_glycoprotein/SARS-CoV-2/7v82 2.8
pdb/surface_glycoprotein/SARS-CoV-2/7v83 2.8
pdb/surface_glycoprotein/SARS-CoV-2/7v86 2.8
pdb/surface_glycoprotein/SARS-CoV-2/7dqa 2.8
pdb/surface_glycoprotein/SARS-CoV-2/7od3 2.8
pdb/surface_glycoprotein/SARS-CoV-2/7r1b 2.8
pdb/surface_glycoprotein/SARS-CoV-2/7uap 2.8
pdb/surface_glycoprotein/SARS-CoV-2/7wwm 2.8
pdb/surface_glycoprotein/SARS-CoV-2/7xtz 2.8
pdb/surface_glycoprotein/SARS-CoV-2/7ru1 2.8
pdb/surface_glycoprotein/SARS-CoV-2/7mji 2.81
pdb/surface_glycoprotein/SARS-CoV-2/7mjg 2.81
pdb/surface_glycoprotein/SARS-CoV-2/7sy6 2.81
pdb/surface_glycoprotein/SARS-CoV-2/7sy7 2.81
pdb/surface_glycoprotein/SARS-CoV-2/7lwm 2.83
pdb/surface_glycoprotein/SARS-CoV-2/7mjm 2.83
pdb/surface_glycoprotein/SARS-CoV-2/7sy1 2.83
pdb/surface_glycoprotein/SARS-CoV-2/7tlc 2.83
pdb/surface_glycoprotein/SARS-CoV-2/7tb8 2.83
pdb/surface_glycoprotein/SARS-CoV-2/7lwl 2.84
pdb/surface_glycoprotein/SARS-CoV-2/6zb5 2.85
pdb/surface_glycoprotein/SARS-CoV-2/7kkl 2.85
pdb/surface_glycoprotein/SARS-CoV-2/7lwo 2.85
pdb/surface_glycoprotein/SARS-CoV-2/7sxw 2.85
pdb/surface_glycoprotein/SARS-CoV-2/7w8s 2.85
pdb/surface_glycoprotein/SARS-CoV-2/7y9z 2.85
pdb/surface_glycoprotein/SARS-CoV/8h0y 2.85
pdb/surface_glycoprotein/SARS-CoV-2/7v20 2.86
pdb/surface_glycoprotein/SARS-CoV-2/8gs6 2.86
pdb/surface_glycoprotein/SARS-CoV/7wsf 2.87
pdb/surface_glycoprotein/SARS-CoV-2/7kqe 2.88
pdb/surface_glycoprotein/SARS-CoV-2/7nll 2.89
pdb/surface_glycoprotein/SARS-CoV-2/7tld 2.89
pdb/surface_glycoprotein/SARS-CoV-2/8dlm 2.89
pdb/surface_glycoprotein/SARS-CoV-2/7wsh 2.89
pdb/surface_glycoprotein/SARS-CoV-2/6m17 2.9
pdb/surface_glycoprotein/SARS-CoV-2/6x79 2.9
pdb/surface_glycoprotein/SARS-CoV-2/6xm3 2.9
pdb/surface_glycoprotein/SARS-CoV-2/6xm4 2.9
pdb/surface_glycoprotein/SARS-CoV-2/6xr8 2.9
pdb/surface_glycoprotein/SARS-CoV-2/6zgi 2.9
pdb/surface_glycoprotein/SARS-CoV-2/7bh9 2.9
pdb/surface_glycoprotein/SARS-CoV-2/7v7r 2.9
pdb/surface_glycoprotein/SARS-CoV-2/7v7e 2.9
pdb/surface_glycoprotein/SARS-CoV-2/7v7o 2.9
pdb/surface_glycoprotein/SARS-CoV-2/7v7p 2.9
pdb/surface_glycoprotein/SARS-CoV-2/7my3 2.9
pdb/surface_glycoprotein/SARS-CoV-2/7v7f 2.9
pdb/surface_glycoprotein/SARS-CoV-2/7v7n 2.9
pdb/surface_glycoprotein/SARS-CoV-2/7n1q 2.9
pdb/surface_glycoprotein/SARS-CoV-2/7dx8 2.9
pdb/surface_glycoprotein/SARS-CoV-2/7r40 2.9
pdb/surface_glycoprotein/SARS-CoV-2/8cyc 2.9
pdb/surface_glycoprotein/SARS-CoV-2/7ws9 2.9
pdb/surface_glycoprotein/SARS-CoV-2/8cxn 2.9
pdb/surface_glycoprotein/SARS-CoV-2/8cy7 2.9
pdb/surface_glycoprotein/SARS-CoV-2/8cy9 2.9
pdb/surface_glycoprotein/SARS-CoV-2/7xu6 2.9
pdb/surface_glycoprotein/SARS-CoV-2/7xu0 2.9
pdb/surface_glycoprotein/SARS-CoV-2/7wa1 2.9
pdb/surface_glycoprotein/SARS-CoV-2/8dlj 2.91
pdb/surface_glycoprotein/SARS-CoV-2/7ad1 2.92
pdb/surface_glycoprotein/SARS-CoV-2/7lwk 2.92
pdb/surface_glycoprotein/SARS-CoV-2/7wpf 2.92
pdb/surface_glycoprotein/SARS-CoV-2/6zxn 2.93
pdb/surface_glycoprotein/SARS-CoV/7cn4 2.93
pdb/surface_glycoprotein/SARS-CoV-2/7whi 2.93
pdb/surface_glycoprotein/SARS-CoV-2/7wse 2.93
pdb/surface_glycoprotein/SARS-CoV-2/7a29 2.94
pdb/surface_glycoprotein/SARS-CoV-2/7lwn 2.94
pdb/surface_glycoprotein/SARS-CoV-2/7m7b 2.95
pdb/surface_glycoprotein/SARS-CoV-2/7mjl 2.95
pdb/surface_glycoprotein/SARS-CoV-2/7sy3 2.95
pdb/surface_glycoprotein/SARS-CoV-2/7kdl 2.96
pdb/surface_glycoprotein/SARS-CoV-2/7v23 2.96
pdb/surface_glycoprotein/SARS-CoV-2/7lab 2.97
pdb/surface_glycoprotein/SARS-CoV-2/7l2e 2.97
pdb/surface_glycoprotein/SARS-CoV-2/7mw2 2.97
pdb/surface_glycoprotein/SARS-CoV-2/7p77 2.98
pdb/surface_glycoprotein/SARS-CoV-2/7xh8 2.99
pdb/surface_glycoprotein/SARS-CoV/8h10 2.99
pdb/surface_glycoprotein/SARS-CoV/8h0z 2.99
pdb/surface_glycoprotein/SARS-CoV-2/6xra 3.0
pdb/surface_glycoprotein/SARS-CoV-2/6zow 3.0
pdb/surface_glycoprotein/SARS-CoV-2/6zox 3.0
pdb/surface_glycoprotein/SARS-CoV-2/6zp0 3.0
pdb/surface_glycoprotein/SARS-CoV-2/7c8d 3.0
pdb/surface_glycoprotein/SARS-CoV-2/7jv6 3.0
pdb/surface_glycoprotein/SARS-CoV-2/7czp 3.0
pdb/surface_glycoprotein/SARS-CoV-2/7d00 3.0
pdb/surface_glycoprotein/SARS-CoV-2/7ddd 3.0
pdb/surface_glycoprotein/SARS-CoV-2/7oan 3.0
pdb/surface_glycoprotein/SARS-CoV-2/7lww 3.0
pdb/surface_glycoprotein/SARS-CoV-2/7k9j 3.0
pdb/surface_glycoprotein/SARS-CoV-2/7v84 3.0
pdb/surface_glycoprotein/SARS-CoV-2/7v7t 3.0
pdb/surface_glycoprotein/SARS-CoV-2/7v7u 3.0
pdb/surface_glycoprotein/SARS-CoV-2/7v7s 3.0
pdb/surface_glycoprotein/SARS-CoV-2/7v7d 3.0
pdb/surface_glycoprotein/SARS-CoV-2/7lxx 3.0
pdb/surface_glycoprotein/SARS-CoV-2/7dx6 3.0
pdb/surface_glycoprotein/SARS-CoV-2/7n8i 3.0
pdb/surface_glycoprotein/SARS-CoV-2/7sxu 3.0
pdb/surface_glycoprotein/SARS-CoV-2/7sy0 3.0
pdb/surface_glycoprotein/SARS-CoV-2/7sxr 3.0
pdb/surface_glycoprotein/SARS-CoV-2/7tly 3.0
pdb/surface_glycoprotein/SARS-CoV-2/7tgw 3.0
pdb/surface_glycoprotein/SARS-CoV-2/7tgy 3.0
pdb/surface_glycoprotein/SARS-CoV-2/7r18 3.0
pdb/surface_glycoprotein/SARS-CoV-2/7epx 3.0
pdb/surface_glycoprotein/SARS-CoV-2/7wsa 3.0
pdb/surface_glycoprotein/SARS-CoV-2/7xoc 3.0
pdb/surface_glycoprotein/SARS-CoV-2/7ws8 3.0
pdb/surface_glycoprotein/SARS-CoV-2/7wwl 3.0
pdb/surface_glycoprotein/SARS-CoV-2/7xo9 3.0
pdb/surface_glycoprotein/SARS-CoV/7uhb 3.0
pdb/surface_glycoprotein/SARS-CoV-2/7xu1 3.0
pdb/surface_glycoprotein/SARS-CoV-2/7xu3 3.0
pdb/surface_glycoprotein/SARS-CoV-2/7t3m 3.0
pdb/surface_glycoprotein/SARS-CoV-2/7ru2 3.0
pdb/surface_glycoprotein/SARS-CoV-2/7t67 3.0
pdb/surface_glycoprotein/SARS-CoV-2/8dly 3.0
pdb/surface_glycoprotein/SARS-CoV-2/7y9s 3.0
pdb/surface_glycoprotein/SARS-CoV-2/7kdg 3.01
pdb/surface_glycoprotein/SARS-CoV-2/7lwp 3.01
pdb/surface_glycoprotein/SARS-CoV-2/7tf4 3.01
pdb/surface_glycoprotein/SARS-CoV-2/7whk 3.01
pdb/surface_glycoprotein/SARS-CoV-2/7n0g 3.02
pdb/surface_glycoprotein/SARS-CoV-2/7qo7 3.02
pdb/surface_glycoprotein/SARS-CoV-2/7tf0 3.02
pdb/surface_glycoprotein/SARS-CoV-2/6zb4 3.03
pdb/surface_glycoprotein/SARS-CoV-2/7kkk 3.03
pdb/surface_glycoprotein/SARS-CoV-2/7odl 3.03
pdb/surface_glycoprotein/SARS-CoV-2/7wri 3.03
pdb/surface_glycoprotein/SARS-CoV-2/7vq0 3.03
pdb/surface_glycoprotein/SARS-CoV/7wsg 3.03
pdb/surface_glycoprotein/SARS-CoV-2/7qti 3.04
pdb/surface_glycoprotein/SARS-CoV-2/8di5 3.04
pdb/surface_glycoprotein/SARS-CoV-2/8dln 3.04
pdb/surface_glycoprotein/SARS-CoV-2/8dlk 3.04
pdb/surface_glycoprotein/SARS-CoV-2/7xst 3.04
pdb/surface_glycoprotein/SARS-CoV-2/7xcp 3.05
pdb/surface_glycoprotein/SARS-CoV-2/7a25 3.06
pdb/surface_glycoprotein/SARS-CoV-2/7tlb 3.06
pdb/surface_glycoprotein/SARS-CoV-2/7lwi 3.07
pdb/surface_glycoprotein/SARS-CoV-2/7xiy 3.07
pdb/surface_glycoprotein/SARS-CoV-2/7ke9 3.08
pdb/surface_glycoprotein/SARS-CoV-2/6wps 3.1
pdb/surface_glycoprotein/SARS-CoV-2/6xm5 3.1
pdb/surface_glycoprotein/SARS-CoV-2/6zoy 3.1
pdb/surface_glycoprotein/SARS-CoV-2/6zp2 3.1
pdb/surface_glycoprotein/SARS-CoV-2/6zp5 3.1
pdb/surface_glycoprotein/SARS-CoV-2/7c2l 3.1
pdb/surface_glycoprotein/SARS-CoV-2/7jzn 3.1
pdb/surface_glycoprotein/SARS-CoV-2/7jzu 3.1
pdb/surface_glycoprotein/SARS-CoV-2/7ke6 3.1
pdb/surface_glycoprotein/SARS-CoV-2/7l09 3.1
pdb/surface_glycoprotein/SARS-CoV-2/7dx1 3.1
pdb/surface_glycoprotein/SARS-CoV-2/7soa 3.1
pdb/surface_glycoprotein/SARS-CoV-2/7v7v 3.1
pdb/surface_glycoprotein/SARS-CoV-2/7v7z 3.1
pdb/surface_glycoprotein/SARS-CoV-2/7ra8 3.1
pdb/surface_glycoprotein/SARS-CoV-2/7v7g 3.1
pdb/surface_glycoprotein/SARS-CoV-2/7sbp 3.1
pdb/surface_glycoprotein/SARS-CoV-2/7sbk 3.1
pdb/surface_glycoprotein/SARS-CoV-2/7wk2 3.1
pdb/surface_glycoprotein/SARS-CoV-2/7w92 3.1
pdb/surface_glycoprotein/SARS-CoV-2/7fce 3.1
pdb/surface_glycoprotein/SARS-CoV-2/7sn3 3.1
pdb/surface_glycoprotein/SARS-CoV-2/7w9e 3.1
pdb/surface_glycoprotein/SARS-CoV-2/7tm0 3.1
pdb/surface_glycoprotein/SARS-CoV-2/7tnw 3.1
pdb/surface_glycoprotein/SARS-CoV-2/7tbf 3.1
pdb/surface_glycoprotein/SARS-CoV-2/7uaq 3.1
pdb/surface_glycoprotein/SARS-CoV-2/7z3z 3.1
pdb/surface_glycoprotein/SARS-CoV-2/7uhc 3.1
pdb/surface_glycoprotein/SARS-CoV-2/7z85 3.1
pdb/surface_glycoprotein/SARS-CoV-2/7z6v 3.1
pdb/surface_glycoprotein/SARS-CoV-2/7fb3 3.1
pdb/surface_glycoprotein/SARS-CoV-2/7xu5 3.1
pdb/surface_glycoprotein/SARS-CoV/7upy 3.1
pdb/surface_glycoprotein/SARS-CoV-2/7ya0 3.1
pdb/surface_glycoprotein/SARS-CoV-2/8err 3.1
pdb/surface_glycoprotein/SARS-CoV-2/7y75 3.1
pdb/surface_glycoprotein/SARS-CoV-2/7n1t 3.11
pdb/surface_glycoprotein/SARS-CoV-2/7sy2 3.11
pdb/surface_glycoprotein/SARS-CoV-2/7thk 3.11
pdb/surface_glycoprotein/SARS-CoV-2/8dlv 3.11
pdb/surface_glycoprotein/SARS-CoV-2/7ya1 3.11
pdb/surface_glycoprotein/SARS-CoV-2/7lwv 3.12
pdb/surface_glycoprotein/SARS-CoV-2/7rr0 3.12
pdb/surface_glycoprotein/SARS-CoV-2/7fdi 3.12
pdb/surface_glycoprotein/SARS-CoV-2/7p7b 3.13
pdb/surface_glycoprotein/SARS-CoV-2/7tla 3.13
pdb/surface_glycoprotein/SARS-CoV-2/7xo5 3.13
pdb/surface_glycoprotein/SARS-CoV-2/7sww 3.13
pdb/surface_glycoprotein/SARS-CoV-2/7swx 3.13
pdb/surface_glycoprotein/SARS-CoV-2/7k9k 3.14
pdb/surface_glycoprotein/SARS-CoV-2/7n1u 3.14
pdb/surface_glycoprotein/SARS-CoV-2/7sy8 3.14
pdb/surface_glycoprotein/SARS-CoV-2/8dlu 3.14
pdb/surface_glycoprotein/SARS-CoV/8h15 3.14182
pdb/surface_glycoprotein/SARS-CoV-2/7mm0 3.15
pdb/surface_glycoprotein/SARS-CoV-2/7mw3 3.15
pdb/surface_glycoprotein/SARS-CoV-2/7e8c 3.16
pdb/surface_glycoprotein/SARS-CoV-2/7mkm 3.16
pdb/surface_glycoprotein/SARS-CoV-2/7tov 3.16
pdb/surface_glycoprotein/SARS-CoV-2/7tf5 3.16
pdb/surface_glycoprotein/SARS-CoV-2/7six 3.16
pdb/surface_glycoprotein/SARS-CoV-2/7n9t 3.18
pdb/surface_glycoprotein/SARS-CoV-2/7e8f 3.18
pdb/surface_glycoprotein/SARS-CoV-2/7wpd 3.18
pdb/surface_glycoprotein/SARS-CoV-2/7ns6 3.18
pdb/surface_glycoprotein/SARS-CoV-2/7lwt 3.19
pdb/surface_glycoprotein/SARS-CoV-2/7yqu 3.19
pdb/surface_glycoprotein/SARS-CoV/5x58 3.2
pdb/surface_glycoprotein/SARS-CoV/6crv 3.2
pdb/surface_glycoprotein/SARS-CoV-2/6vyb 3.2
pdb/surface_glycoprotein/SARS-CoV-2/6x2c 3.2
